2023-01-09 11:39:36.512 [DEBU] {6462c442e486381713cb9b7a05b46e7c} [ 14 ms] [default] [shop] [rows:9  ] SHOW FULL COLUMNS FROM `admin_info`
2023-01-09 11:39:36.529 [DEBU] {c9739e43e486381714cb9b7a59346dd6} [ 16 ms] [default] [shop] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`deleted_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE (`name`='song') AND `deleted_at` IS NULL LIMIT 1
2023-01-09 12:10:07.366 [DEBU] {a665a78a8e8838174a2b783cfcaf5b31} [  5 ms] [default] [shop] [rows:9  ] SHOW FULL COLUMNS FROM `admin_info`
2023-01-09 12:10:07.368 [DEBU] {afc6038b8e8838174b2b783c9d0b778c} [  1 ms] [default] [shop] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`deleted_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE (`name`='song') AND `deleted_at` IS NULL LIMIT 1
2023-01-09 12:10:07.371 [DEBU] {eeff2e8b8e8838174c2b783cbd0acfb7} [  2 ms] [default] [shop] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`deleted_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE (`id`='3') AND `deleted_at` IS NULL LIMIT 1
2023-01-09 12:10:07.374 [DEBU] {6d0f478b8e8838174d2b783c4e60bd3d} [  3 ms] [default] [shop] [rows:5  ] SHOW FULL COLUMNS FROM `role_permission_info`
2023-01-09 12:10:07.375 [DEBU] {f542748b8e8838174e2b783c1c8be558} [  1 ms] [default] [shop] [rows:0  ] SELECT `id`,`role_id`,`permission_id`,`created_at`,`updated_at` FROM `role_permission_info` WHERE `role_id` IN ('2')
2023-01-09 12:10:07.378 [DEBU] {fe41888b8e8838174f2b783cdd70a19c} [  3 ms] [default] [shop] [rows:6  ] SHOW FULL COLUMNS FROM `permission_info`
2023-01-09 12:10:07.379 [DEBU] {4e09b68b8e883817502b783cb2a2e6f9} [  1 ms] [default] [shop] [rows:0  ] SELECT `id`,`name`,`path`,`created_at`,`updated_at`,`deleted_at` FROM `permission_info` WHERE (0=1) AND `deleted_at` IS NULL
2023-01-09 12:36:05.265 [DEBU] {5717b344f9893817d4e48016a7e96172} [  5 ms] [default] [shop] [rows:9  ] SHOW FULL COLUMNS FROM `admin_info`
2023-01-09 12:36:05.267 [DEBU] {c2d00d45f9893817d5e48016a11f0027} [  1 ms] [default] [shop] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`deleted_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE (`name`='song') AND `deleted_at` IS NULL LIMIT 1
2023-01-09 12:36:05.270 [DEBU] {33194245f9893817d6e48016da4c1e59} [  1 ms] [default] [shop] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`deleted_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE (`id`='3') AND `deleted_at` IS NULL LIMIT 1
2023-01-09 12:36:05.275 [DEBU] {96795845f9893817d7e48016f8650c32} [  4 ms] [default] [shop] [rows:5  ] SHOW FULL COLUMNS FROM `role_permission_info`
2023-01-09 12:36:05.276 [DEBU] {db829845f9893817d8e48016c82c87e4} [  1 ms] [default] [shop] [rows:0  ] SELECT `id`,`role_id`,`permission_id`,`created_at`,`updated_at` FROM `role_permission_info` WHERE `role_id` IN ('2')
2023-01-09 12:36:05.279 [DEBU] {a203af45f9893817d9e48016051dc86f} [  2 ms] [default] [shop] [rows:6  ] SHOW FULL COLUMNS FROM `permission_info`
2023-01-09 12:36:05.280 [DEBU] {2bd9df45f9893817dae48016dde9dc3e} [  0 ms] [default] [shop] [rows:0  ] SELECT `id`,`name`,`path`,`created_at`,`updated_at`,`deleted_at` FROM `permission_info` WHERE (0=1) AND `deleted_at` IS NULL
2023-01-09 12:36:56.999 [DEBU] {3bdb2450058a38176ac9544747cee211} [  7 ms] [default] [shop] [rows:9  ] SHOW FULL COLUMNS FROM `admin_info`
